z,pT,z_pT,Q2,flavor,flavor_index,nrep,weighted_collins_mean,weighted_collins_std
0.3,0.5326633165829145,0.15979899497487435,4.0,fav,1,50,0.04849745021329627,0.035091683402380634
0.3,0.5326633165829145,0.15979899497487435,4.0,unf,3,50,-0.1062792956247739,0.04025181731564101
0.3,0.5376884422110553,0.16130653266331657,4.0,fav,1,50,0.049131680610446454,0.035396125713403837
0.3,0.5376884422110553,0.16130653266331657,4.0,unf,3,50,-0.10730318703326663,0.040514345478287236
0.3,0.542713567839196,0.1628140703517588,4.0,fav,1,50,0.049763122359437605,0.035693429758721994
0.3,0.542713567839196,0.1628140703517588,4.0,unf,3,50,-0.10830907779172405,0.0407666589637902
0.3,0.5477386934673367,0.16432160804020102,4.0,fav,1,50,0.05039162750890011,0.035983483539508386
0.3,0.5477386934673367,0.16432160804020102,4.0,unf,3,50,-0.1092966437267757,0.041008678347967065
0.3,0.5527638190954774,0.16582914572864324,4.0,fav,1,50,0.05101705017607509,0.03626617954791147
0.3,0.5527638190954774,0.16582914572864324,4.0,unf,3,50,-0.11026557213634272,0.041240331695661055
0.3,0.5577889447236181,0.1673366834170854,4.0,fav,1,50,0.05163924658485293,0.03654141480171825
0.3,0.5577889447236181,0.1673366834170854,4.0,unf,3,50,-0.11121556186196081,0.0414615545621763
0.3,0.5628140703517588,0.16884422110552763,4.0,fav,1,50,0.05225807510237134,0.0368090908759504
0.3,0.5628140703517588,0.16884422110552763,4.0,unf,3,50,-0.11214632335266961,0.04167228998915533
0.3,0.5678391959798995,0.17035175879396985,4.0,fav,1,50,0.052873396274167525,0.03706911393140142
0.3,0.5678391959798995,0.17035175879396985,4.0,unf,3,50,-0.11305757872050633,0.041872488494971306
0.3,0.5728643216080402,0.17185929648241208,4.0,fav,1,50,0.05348507285787917,0.037321394740126954
0.3,0.5728643216080402,0.17185929648241208,4.0,unf,3,50,-0.11394906178765034,0.04206210805970809
0.3,0.577889447236181,0.17336683417085427,4.0,fav,1,50,0.05409296985549088,0.03756584870790254
0.3,0.577889447236181,0.17336683417085427,4.0,unf,3,50,-0.11482051812527327,0.04224111410480065
0.3,0.5829145728643216,0.17487437185929647,4.0,fav,1,50,0.05469695454412278,0.03780239589366531
0.3,0.5829145728643216,0.17487437185929647,4.0,unf,3,50,-0.11567170508415116,0.04240947946742635
0.3,0.5879396984924623,0.1763819095477387,4.0,fav,1,50,0.05529689650536014,0.038030961025959584
0.3,0.5879396984924623,0.1763819095477387,4.0,unf,3,50,-0.11650239181710736,0.04256718436972767
0.3,0.592964824120603,0.17788944723618091,4.0,fav,1,50,0.055892667653122834,0.03825147351640706
0.3,0.592964824120603,0.17788944723618091,4.0,unf,3,50,-0.11731235929335679,0.04271421638295775
0.3,0.5979899497487438,0.1793969849246231,4.0,fav,1,50,0.05648414226007544,0.038463867470226516
0.3,0.5979899497487438,0.1793969849246231,4.0,unf,3,50,-0.11810140030483077,0.04285057038664504
0.3,0.6030150753768845,0.18090452261306533,4.0,fav,1,50,0.05707119698257911,0.03866808169382979
0.3,0.6030150753768845,0.18090452261306533,4.0,unf,3,50,-0.1188693194645661,0.042976248522874023
0.3,0.6080402010050251,0.18241206030150753,4.0,fav,1,50,0.057653710884187796,0.03886405969952141
0.3,0.6080402010050251,0.18241206030150753,4.0,unf,3,50,-0.1196159331972499,0.04309126014578176
0.3,0.6130653266331658,0.18391959798994975,4.0,fav,1,50,0.05823156545769208,0.03905174970733494
0.3,0.6130653266331658,0.18391959798994975,4.0,unf,3,50,-0.120341069722014,0.04319562176637981
0.3,0.6180904522613065,0.18542713567839195,4.0,fav,1,50,0.05880464464571498,0.039231104644037965
0.3,0.6180904522613065,0.18542713567839195,4.0,unf,3,50,-0.12104456902758351,0.0432893569928022
0.3,0.6231155778894473,0.18693467336683417,4.0,fav,1,50,0.05937283485986524,0.039402082139342064
0.3,0.6231155778894473,0.18693467336683417,4.0,unf,3,50,-0.12172628283988313,0.043372496466097865
0.3,0.628140703517588,0.1884422110552764,4.0,fav,1,50,0.05993602499845419,0.039564644519354764
0.3,0.628140703517588,0.1884422110552764,4.0,unf,3,50,-0.12238607458221568,0.04344507779167608
0.3,0.6331658291457286,0.1899497487437186,4.0,fav,1,50,0.06049410646278361,0.039718758797314145
0.3,0.6331658291457286,0.1899497487437186,4.0,unf,3,50,-0.12302381932812954,0.043507145466521166
0.3,0.6381909547738693,0.19145728643216078,4.0,fav,1,50,0.06104697317201238,0.03986439666164736
0.3,0.6381909547738693,0.19145728643216078,4.0,unf,3,50,-0.1236394037470957,0.04355875080229751
