z,Q2,flavor,flavor_index,nrep,H1perp1_mean,H1perp1_std
0.09864321608040201,4.0,s,5,50,-17.523978684356162,9.247631600891447
0.09864321608040201,4.0,sb,6,50,-17.523978684356162,9.247631600891447
0.09864321608040201,4.0,c,7,50,0.0,0.0
0.09864321608040201,4.0,cb,8,50,0.0,0.0
0.09864321608040201,4.0,b,9,50,0.0,0.0
0.09864321608040201,4.0,bb,10,50,0.0,0.0
0.1035678391959799,4.0,u,1,50,3.7682144561587916,2.83382986437139
0.1035678391959799,4.0,ub,2,50,-16.22782817503927,8.220961643908334
0.1035678391959799,4.0,d,3,50,-16.22782817503927,8.220961643908334
0.1035678391959799,4.0,db,4,50,3.7682144561587916,2.83382986437139
0.1035678391959799,4.0,s,5,50,-16.22782817503927,8.220961643908334
0.1035678391959799,4.0,sb,6,50,-16.22782817503927,8.220961643908334
0.1035678391959799,4.0,c,7,50,0.0,0.0
0.1035678391959799,4.0,cb,8,50,0.0,0.0
0.1035678391959799,4.0,b,9,50,0.0,0.0
0.1035678391959799,4.0,bb,10,50,0.0,0.0
0.10849246231155779,4.0,u,1,50,3.760103857847003,2.7324232130400268
0.10849246231155779,4.0,ub,2,50,-15.0100649984845,7.305135420103686
0.10849246231155779,4.0,d,3,50,-15.0100649984845,7.305135420103686
