x,kT,Q2,flavor,flavor_index,nrep,collins_mean,collins_std
0.0198989898989899,0.3564646464646465,4.0,fav,1,50,0.0005474600443904374,0.0010268341189482663
0.0198989898989899,0.3564646464646465,4.0,unf,3,50,-0.05478514338547555,0.09114151250755388
0.0198989898989899,0.36636363636363634,4.0,fav,1,50,0.000547443308201723,0.0010268023138924453
0.0198989898989899,0.36636363636363634,4.0,unf,3,50,-0.05478210300888839,0.09113563379255846
0.0198989898989899,0.37626262626262624,4.0,fav,1,50,0.0005474261142400372,0.001026769639055392
0.0198989898989899,0.37626262626262624,4.0,unf,3,50,-0.054778979541393366,0.09112959446383903
0.0198989898989899,0.38616161616161615,4.0,fav,1,50,0.0005474084625559806,0.0010267360945461904
0.0198989898989899,0.38616161616161615,4.0,unf,3,50,-0.05477577299787729,0.09112339455394826
0.0198989898989899,0.39606060606060606,4.0,fav,1,50,0.0005473903532015001,0.0010267016804768217
0.0198989898989899,0.39606060606060606,4.0,unf,3,50,-0.054772483393622166,0.09111703409630272
0.0198989898989899,0.40595959595959596,4.0,fav,1,50,0.0005473717862298872,0.0010266663969621655
0.0198989898989899,0.40595959595959596,4.0,unf,3,50,-0.05476911074430517,0.09111051312518294
0.0198989898989899,0.41585858585858587,4.0,fav,1,50,0.0005473527616957783,0.0010266302441199991
0.0198989898989899,0.41585858585858587,4.0,unf,3,50,-0.054765655065998536,0.09110383167573255
0.0198989898989899,0.4257575757575757,4.0,fav,1,50,0.0005473332796551539,0.001026593222070994
0.0198989898989899,0.4257575757575757,4.0,unf,3,50,-0.054762116375169416,0.0910969897839586
0.0198989898989899,0.43565656565656563,4.0,fav,1,50,0.0005473133401653389,0.001026555330938719
0.0198989898989899,0.43565656565656563,4.0,unf,3,50,-0.05475849468867975,0.09108998748673054
